Series Name;Series Code;Country Name;Country Code;2016 [YR2016]
GDP per capita (current US$);NY.GDP.PCAP.CD;Korea; Republic KOR;29280.4403170048
GDP per capita (current US$);NY.GDP.PCAP.CD;Kosovo;XKX;3759.47285515454
GDP per capita (current US$);NY.GDP.PCAP.CD;Kuwait;KWT;27026.6876602182
GDP per capita (current US$);NY.GDP.PCAP.CD;Kyrgyz Republic;KGZ;1120.66705800127
GDP per capita (current US$);NY.GDP.PCAP.CD;Lao PDR;LAO;2309.0490761946
GDP per capita (current US$);NY.GDP.PCAP.CD;Latvia;LVA;14331.7515885049
GDP per capita (current US$);NY.GDP.PCAP.CD;Lebanon;LBN;8172.29947599133
GDP per capita (current US$);NY.GDP.PCAP.CD;Lesotho;LSO;994.239764062067
GDP per capita (current US$);NY.GDP.PCAP.CD;Liberia;LBR;722.131226789418
GDP per capita (current US$);NY.GDP.PCAP.CD;Libya;LBY;7945.00605015965
GDP per capita (current US$);NY.GDP.PCAP.CD;Liechtenstein;LIE;165845.995200652
GDP per capita (current US$);NY.GDP.PCAP.CD;Lithuania;LTU;15008.3132445526
GDP per capita (current US$);NY.GDP.PCAP.CD;Luxembourg;LUX;106899.293549552
GDP per capita (current US$);NY.GDP.PCAP.CD;Macao SAR;MAC;71919.054918813
GDP per capita (current US$);NY.GDP.PCAP.CD;North Macedonia;MKD;5149.58676436907
GDP per capita (current US$);NY.GDP.PCAP.CD;Madagascar;MDG;464.61615837171
GDP per capita (current US$);NY.GDP.PCAP.CD;Malawi;MWI;454.443266065248
GDP per capita (current US$);NY.GDP.PCAP.CD;Malaysia;MYS;9555.66959336559
GDP per capita (current US$);NY.GDP.PCAP.CD;Maldives;MDV;9708.14134750478
GDP per capita (current US$);NY.GDP.PCAP.CD;Mali;MLI;750.051809102295
GDP per capita (current US$);NY.GDP.PCAP.CD;Malta;MLT;25623.9416320597
GDP per capita (current US$);NY.GDP.PCAP.CD;Marshall Islands;MHL;4153.11717602268
GDP per capita (current US$);NY.GDP.PCAP.CD;Mauritania;MRT;1579.20071673512
GDP per capita (current US$);NY.GDP.PCAP.CD;Mauritius;MUS;9965.72531085228
GDP per capita (current US$);NY.GDP.PCAP.CD;Mexico;MEX;9152.73722334937
GDP per capita (current US$);NY.GDP.PCAP.CD;Micronesia; Fed.Sts.FSM;3022.65362747328
GDP per capita (current US$);NY.GDP.PCAP.CD;Moldova;MDA;2847.63506882245
GDP per capita (current US$);NY.GDP.PCAP.CD;Monaco;MCO;174412.494536127
GDP per capita (current US$);NY.GDP.PCAP.CD;Mongolia;MNG;3690.75677759847
GDP per capita (current US$);NY.GDP.PCAP.CD;Montenegro;MNE;7033.43962398373
GDP per capita (current US$);NY.GDP.PCAP.CD;Morocco;MAR;3132.9521484375
GDP per capita (current US$);NY.GDP.PCAP.CD;Mozambique;MOZ;435.760991009624
GDP per capita (current US$);NY.GDP.PCAP.CD;Myanmar;MMR;1218.21703407842
GDP per capita (current US$);NY.GDP.PCAP.CD;Namibia;NAM;4614.89207493896
GDP per capita (current US$);NY.GDP.PCAP.CD;Nauru;NRU;8528.63015087044
GDP per capita (current US$);NY.GDP.PCAP.CD;Nepal;NPL;880.224893639824
GDP per capita (current US$);NY.GDP.PCAP.CD;Netherlands;NLD;46039.1059284098
GDP per capita (current US$);NY.GDP.PCAP.CD;New Caledonia;NCL;32286.9104984753
GDP per capita (current US$);NY.GDP.PCAP.CD;New Zealand;NZL;40058.1961621466
GDP per capita (current US$);NY.GDP.PCAP.CD;Nicaragua;NIC;2079.45102735861
GDP per capita (current US$);NY.GDP.PCAP.CD;Niger;NER;497.036120831726
GDP per capita (current US$);NY.GDP.PCAP.CD;Nigeria;NGA;2144.78034442697
GDP per capita (current US$);NY.GDP.PCAP.CD;Northern Mariana Islands;MNP;24054.9156122269
GDP per capita (current US$);NY.GDP.PCAP.CD;Norway;NOR;70867.3609970749
GDP per capita (current US$);NY.GDP.PCAP.CD;Oman;OMN;17082.2061998982
GDP per capita (current US$);NY.GDP.PCAP.CD;Pakistan;PAK;1468.82208238833
GDP per capita (current US$);NY.GDP.PCAP.CD;Palau;PLW;16743.376740009
GDP per capita (current US$);NY.GDP.PCAP.CD;Panama;PAN;14382.2323819969
GDP per capita (current US$);NY.GDP.PCAP.CD;Papua New Guinea;PNG;2332.67588834678
GDP per capita (current US$);NY.GDP.PCAP.CD;Paraguay;PRY;5759.04219789251
